"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-512";"municipal";"Fortaleza";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FORTALEZA - CE";"CME-FORTALEZA-CE";"fortaleza-ce";"PRESIDENTE: RAIMUNDO NONATO NOGUEIRA LIMA"
"uncme-513";"municipal";"Fortaleza dos Valos";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FORTALEZA DOS VALOS - RS";"CME-FORTALEZA-DOS-VALOS-RS";"fortalezadosvalos-rs";"PRESIDENTE: MARLISE ELICKER"
"uncme-514";"municipal";"Foz do Iguaçu";"PR";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FOZ DO IGUAÇU - PR";"CME-FOZ-DO-IGUAÇU-PR";"fozdoiguacu-pr";"PRESIDENTE: ELAINE BERNARDES RIBEIRO"
"uncme-515";"municipal";"Francisco Ayres";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FRANCISCO AYRES - PI";"CME-FRANCISCO-AYRES-PI";"franciscoayres-pi";"PRESIDENTE: SUZANE PEREIRA LIMA"
"uncme-516";"municipal";"Francisco Dantas";"RN";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FRANCISCO DANTAS - RN";"CME-FRANCISCO-DANTAS-RN";"franciscodantas-rn";"PRESIDENTE: MARIA DE FATIMA SOARES MOURA"
"uncme-517";"municipal";"Frecheirinha";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FRECHEIRINHA - CE";"CME-FRECHEIRINHA-CE";"frecheirinha-ce";"PRESIDENTE: MARIA DO LIVRAMENTO CUNHA SILVA"
"uncme-518";"municipal";"Frei Lagonegro";"MG";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FREI LAGONEGRO - MG";"CME-FREI-LAGONEGRO-MG";"freilagonegro-mg";"PRESIDENTE: ANDRÉIA APARECIDA DUMONT FREITAS"
"uncme-519";"municipal";"Frei Martinho";"PB";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FREI MARTINHO - PB";"CME-FREI-MARTINHO-PB";"freimartinho-pb";"PRESIDENTE: JUSSARA DIAS DANTAS"
"uncme-520";"municipal";"Frei Paulo";"SE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FREI PAULO - SE";"CME-FREI-PAULO-SE";"freipaulo-se";"PRESIDENTE: SANDRA SILVA SANTOS DE ALMEIDA"
"uncme-521";"municipal";"Fronteiras";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE FRONTEIRAS - PI";"CME-FRONTEIRAS-PI";"fronteiras-pi";"PRESIDENTE: FRANCIREZA DA SILVA ALENCAR"
"uncme-522";"municipal";"Gandu";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GANDU - BA";"CME-GANDU-BA";"gandu-ba";"PRESIDENTE: MERCEDES DE JESUS EVARISTO"
"uncme-523";"municipal";"Gararu";"SE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GARARU - SE";"CME-GARARU-SE";"gararu-se";"PRESIDENTE: GRACINEIDE BARROS SANTOS"
"uncme-524";"municipal";"Garibaldi";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GARIBALDI - RS";"CME-GARIBALDI-RS";"garibaldi-rs";"PRESIDENTE: ARNALDO ONGARATTO "
"uncme-525";"municipal";"Garopaba";"SC";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GAROPABA - SC";"CME-GAROPABA-SC";"garopaba-sc";"PRESIDENTE: CELSO JOSÉ BARBOSA DE SOUZA SOUZA"
"uncme-526";"municipal";"Garruchos";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GARRUCHOS - RS";"CME-GARRUCHOS-RS";"garruchos-rs";"PRESIDENTE: MARTA ELIANE MIRANDA SANTIAGO"
"uncme-527";"municipal";"Gaurama";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GAURAMA - RS";"CME-GAURAMA-RS";"gaurama-rs";"PRESIDENTE: MÁRCIA FABRIS"
"uncme-528";"municipal";"Gavião";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GAVIÃO - BA";"CME-GAVIÃO-BA";"gaviao-ba";"PRESIDENTE: LUIS ANTONIO NUNES DE OLIVEIRA"
"uncme-529";"municipal";"General Carneiro";"MT";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GENERAL CARNEIRO - MT";"CME-GENERAL-CARNEIRO-MT";"generalcarneiro-mt";"PRESIDENTE: GISLEIA DIAS FERREIRA "
"uncme-530";"municipal";"General Maynard";"SE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GENERAL MAYNARD - SE";"CME-GENERAL-MAYNARD-SE";"generalmaynard-se";"PRESIDENTE: BALMAN PAULINO GOUVEIA"
"uncme-531";"municipal";"General Sampaio";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GENERAL SAMPAIO - CE";"CME-GENERAL-SAMPAIO-CE";"generalsampaio-ce";"PRESIDENTE: ALINE DA FONSECA SILVA"
"uncme-532";"municipal";"Getúlio Vargas";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GETÚLIO VARGAS - RS";"CME-GETÚLIO-VARGAS-RS";"getuliovargas-rs";"PRESIDENTE: VERA LUCIA ROSA"
"uncme-533";"municipal";"Girau do Ponciano";"AL";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GIRAU DO PONCIANO - AL";"CME-GIRAU-DO-PONCIANO-AL";"giraudoponciano-al";"PRESIDENTE: ELMA CAVALCANTE DA SILVA"
"uncme-534";"municipal";"Giruá";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GIRUÁ - RS";"CME-GIRUÁ-RS";"girua-rs";"PRESIDENTE: VERA LUCIA LEIMANN KRUKLIS"
"uncme-535";"municipal";"Glória";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GLÓRIA - BA";"CME-GLÓRIA-BA";"gloria-ba";"PRESIDENTE: CELITO LIMA GOMES"
"uncme-536";"municipal";"Glorinha";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GLORINHA - RS";"CME-GLORINHA-RS";"glorinha-rs";"PRESIDENTE: GISLAINE DOS SANTOS LIMA"
"uncme-537";"municipal";"Goiana";"PE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GOIANA - PE";"CME-GOIANA-PE";"goiana-pe";"PRESIDENTE: GERALDO FREIRE DE SANTANA JÚNIOR"
"uncme-538";"municipal";"Goianésia";"GO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GOIANÉSIA - GO";"CME-GOIANÉSIA-GO";"goianesia-go";"PRESIDENTE: NOE RAIMUNDO DE ARAUJO"
"uncme-539";"municipal";"Goiânia";"GO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GOIÂNIA - GO";"CME-GOIÂNIA-GO";"goiania-go";"PRESIDENTE: ACACIA  APARECIDA BRINGEL"
"uncme-540";"municipal";"Gongogi";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GONGOGI - BA";"CME-GONGOGI-BA";"gongogi-ba";"PRESIDENTE: DAISY SANTOS DE MIRANDA"
